logid,date,staffnumber,projectid,hours
3622328,2020-04-16,3631,21537,7.5
3622329,2020-04-17,3631,21537,7.5
3622330,2020-04-20,3631,21537,7.5
3622331,2020-04-21,3631,21537,7.5
3622332,2020-04-22,3631,21537,7.5
3622333,2020-04-23,3631,21537,7.5
3622334,2020-04-24,3631,21537,7.5
3622335,2020-04-13,5722,18201,7.5
3622336,2020-04-14,5722,18201,7.5
3622337,2020-04-15,5722,18201,7.5
3622338,2020-04-16,5722,18201,7.5
3622339,2020-04-17,5722,18201,7.5
3622340,2020-04-20,5722,18201,7.5
3622341,2020-04-21,5722,18201,7.5
3622342,2020-04-22,5722,18201,7.5
3622343,2020-04-23,5722,18201,7.5
3622344,2020-04-24,5722,18201,7.5
3622391,2020-04-23,5727,18201,7.5
3622537,2020-04-24,5727,18201,7.5
3622609,2020-04-23,5689,21537,7.5
3622610,2020-04-24,5689,15362,3
3622611,2020-04-24,5689,26856,2
3622614,2020-04-24,5689,21537,2.5
3631316,2020-06-02,5727,18201,7.5
3631356,2020-06-02,3636,25742,0.5
3631362,2020-06-02,3636,19348,1
3631363,2020-06-02,3636,15357,1
3631364,2020-06-02,3636,19348,0.5
3631367,2020-06-02,3636,26895,2
3631693,2020-06-01,5689,21537,2.5
3631694,2020-06-02,5689,15362,7.5
3631695,2020-06-03,5689,21537,6.5
3631696,2020-06-03,5689,26856,1
3631713,2020-06-03,5727,18201,7.5
3631717,2020-06-01,5722,18201,7.5
3631718,2020-06-02,5722,18201,7.5
3631719,2020-06-03,5722,18201,7.5
3631720,2020-06-04,5722,18201,7.5
3631721,2020-06-05,5722,18201,7.5
3631722,2020-06-01,3631,21537,7.5
3631723,2020-06-02,3631,21537,7.5
3631724,2020-06-03,3631,21537,7.5
3631725,2020-06-04,3631,21537,7.5
3631726,2020-06-05,3631,21537,7.5
3631728,2020-06-03,3636,19348,1
3631729,2020-06-03,3636,19348,2
3631730,2020-06-03,3636,19348,0.5
3631731,2020-06-03,3636,15357,1
3631732,2020-06-03,3636,19348,1
3631733,2020-06-03,3636,15357,1
3631734,2020-06-03,3636,25767,2.5
3631735,2020-05-29,3636,19348,1
3631777,2020-06-04,3636,25767,0.25
3631869,2020-06-04,5727,18201,7.5
3631871,2020-06-04,3636,15357,3
3631872,2020-05-29,3636,26882,3
3631891,2020-05-25,3636,26882,2
3640148,2020-07-16,5727,18201,7.5
3640149,2020-07-17,5727,18201,7.5
3640221,2020-07-06,3636,19348,4.5
3640308,2020-07-17,3636,19348,3.5
3640309,2020-07-17,3636,26895,1.5
3640310,2020-07-17,3636,19348,1.5
3640311,2020-07-17,3636,15357,1
3640462,2020-08-03,3535,20448,7.5
3640480,2020-08-03,5722,18201,7.5
